date,cape,mkt5yrfwd
1994-6,20.19645,0.2619701
1994-7,20.29076,0.2576252
1994-8,20.06796,0.2701028
1994-9,20.53555,0.2527285
1994-10,20.57645,0.2491856
1994-11,20.39576,0.2470932
1994-12,20.20951,0.2652745
1995-1,19.91148,0.2749302
1995-2,20.21912,0.2684681
1995-3,20.80261,0.2526815
1995-4,21.15273,0.2560414
1995-5,21.64274,0.2516432
1995-6,22.1954,0.2362846
1995-7,22.71836,0.2362605
1995-8,23.37642,0.2297389
1995-9,23.28403,0.2307712
1995-10,23.946,0.2191444
1995-11,23.92676,0.2039395
1995-12,24.34757,0.196459
1996-1,25.02739,0.1805001
1996-2,24.76247,0.1811626
1996-3,25.97604,0.1626475
1996-4,25.62993,0.1411628
1996-5,25.4242,0.1417458
1996-6,25.814,0.1516841
1996-7,25.96667,0.1432378
1996-8,24.8584,0.1451917
1996-9,25.41259,0.13359
1996-10,25.68012,0.1024507
1996-11,26.48347,0.1004954
1996-12,27.58566,0.1005375
1997-1,27.72395,0.1011738
1997-2,28.33288,0.0935369
1997-3,29.26571,0.0769122
1997-4,28.80246,0.0887751
1997-5,27.58516,0.0885824
1997-6,29.92835,0.0635063
1997-7,31.25655,0.0397728
1997-8,32.76664,0.0051329
1997-9,32.58629,0.0067554
1997-10,32.66658,-0.0053268
1997-11,32.9015,-0.0112483
1997-12,32.33667,0.0038913
1998-1,33.03078,-0.0033324
1998-2,32.85997,-0.0041934
1998-3,34.70964,-0.0293874
1998-4,36.29693,-0.0368407
1998-5,37.27694,-0.0333136
1998-6,36.95665,-0.022771
1998-7,36.8023,-0.0120483
1998-8,38.25965,-0.0194299
1998-9,35.42331,-0.0054207
1998-10,33.53236,0.0109627
1998-11,33.7731,0.0124753
1998-12,37.36937,-0.0059643
1999-1,38.82028,-0.0079076
1999-2,40.57695,-0.0080745
1999-3,40.40019,-0.0057453
1999-4,41.3561,-0.0145173
1999-5,42.7045,-0.020754
1999-6,42.55672,-0.0255876
1999-7,42.18068,-0.0188217
1999-8,43.82803,-0.0318131
1999-9,41.93071,-0.0270075
1999-10,41.32346,-0.0204289
1999-11,40.55286,-0.0176676
1999-12,43.20839,-0.0219504
2000-1,44.19794,-0.0220596
2000-2,43.77258,-0.024437
2000-3,42.18559,-0.0162041
2000-4,43.22075,-0.0242371
2000-5,43.52857,-0.0316855
2000-6,41.96604,-0.0234552
2000-7,42.78199,-0.0252931
2000-8,42.7581,-0.0234066
2000-9,42.8696,-0.0245926
2000-10,41.89801,-0.0218858
2000-11,39.36971,-0.0165428
2000-12,38.78215,-0.0072935
2001-1,37.27425,0.0037201
2001-2,36.97887,0.0057699
2001-3,35.83462,0.0101013
2001-4,32.32584,0.0325783
2001-5,32.1739,0.0333057
2001-6,34.07459,0.0180197
2001-7,33.06854,0.0173404
2001-8,32.16303,0.0242975
2001-9,31.40434,0.0331991
2001-10,27.6674,0.0634423
2001-11,28.57738,0.064302
2001-12,30.00511,0.0580051
2002-1,30.49996,0.0593842
2002-2,30.27719,0.0614308
2002-3,29.08576,0.0720448
2002-4,30.29213,0.056386
2002-5,29.00589,0.0726757
2002-6,28.12808,0.086007
2002-7,26.38768,0.1000555
2002-8,23.46313,0.1266374
2002-9,23.58871,0.1144306
2002-10,22.36504,0.1321596
2002-11,21.95623,0.1419625
2002-12,23.34841,0.1163079
2003-1,23.10144,0.121362
2003-2,22.89835,0.1065412
2003-3,21.21411,0.1177765
2003-4,21.30972,0.1089436
2003-5,22.42794,0.1067276
2003-6,23.59109,0.1008727
2003-7,24.83222,0.0793054
2003-8,24.86734,0.0645697
2003-9,24.64228,0.0693697
2003-10,25.24369,0.0522092
2003-11,25.68274,0.001753
2003-12,25.94678,-0.01848
2004-1,26.63517,-0.0250669
2004-2,27.65855,-0.0365386
2004-3,27.65087,-0.0518689
2004-4,26.88652,-0.0599462
2004-5,26.90058,-0.0396982
2004-6,25.90283,-0.0221708
2004-7,26.40128,-0.0221511
2004-8,25.69589,-0.015213
2004-9,25.17446,0.00309
2004-10,25.6684,0.0047824
2004-11,25.41165,0.0093682
2004-12,26.46531,0.0041667
2005-1,27.1448,0.0031998
2005-2,26.58726,0.0086654
2005-3,26.74484,-0.0005691
2005-4,26.33914,0.0115829
2005-5,25.40891,0.024739
2005-6,25.65027,0.0097411
2005-7,26.0684,-0.0018015
2005-8,26.28787,-0.005652
2005-9,26.10438,-0.0045096
2005-10,25.73013,0.0015996
2005-11,24.87654,0.0160386
2005-12,25.93176,0.0131947
2006-1,26.4438,0.0163394
2006-2,26.4687,0.0203634
2006-3,26.24963,0.0268051
2006-4,26.32784,0.021553
2006-5,26.14728,0.0244825
2006-6,25.65063,0.0275265
2006-7,24.74959,0.0255688
2006-8,24.69678,0.0304427
2006-9,25.05138,0.0035663
2006-10,25.64416,-0.0029519
2006-11,26.53804,-0.0040352
2006-12,26.92802,-0.0044228
2007-1,27.28269,-0.005515
2007-2,27.207,0.0025099
2007-3,27.31502,0.0075888
2007-4,26.22787,0.0185001
2007-5,26.97575,0.0101872
2007-6,27.54835,-0.002745
2007-7,27.41854,-0.0056715
2007-8,27.40997,-0.0010061
2007-9,26.14826,0.0144167
2007-10,26.72576,0.014364
2007-11,27.32014,0.0080173
2007-12,25.72869,0.0122151
2008-1,25.95504,0.0141297
2008-2,24.02234,0.0368225
2008-3,23.49561,0.0449288
2008-4,22.60662,0.0561964
2008-5,23.35639,0.050514
2008-6,23.69667,0.0546362
2008-7,22.41632,0.0614739
2008-8,20.90761,0.08181
2008-9,21.40127,0.0778704
2008-10,20.36303,0.0912516
2008-11,16.3876,0.1464276
2008-12,15.25931,0.1761333
2009-1,15.37595,0.1805271
2009-2,15.17488,0.1854251
2009-3,14.12238,0.2016915
2009-4,13.32362,0.2224151
2009-5,14.98188,0.1948348
2009-6,15.99606,0.1831346
2009-7,16.38443,0.1839046
2009-8,16.69472,0.1844317
2009-9,18.09441,0.1650985
2009-10,18.83183,0.1608744
2009-11,19.35776,0.1492049
2009-12,19.81277,0.157234
2010-1,20.3223,0.1536203
2010-2,20.5276,0.1479563
2010-3,19.92067,0.1611935
2010-4,21.00472,0.147999
2010-5,21.80476,0.1408343
2010-6,20.47989,0.1570072
2010-7,19.74161,0.1643733
2010-8,19.66877,0.1645611
2010-9,19.77048,0.15687
2010-10,20.38133,0.1386752
